Place Name,Suburb,Latitude,Longitude,Sports Played,Number of Field Courts,Field Surface Type,Facility Condition,Changerooms,Municipality,Address,Facility Name,Categories,Historical Information,Url
Chelsea Public Golf Course,Edithvale,-38.036458,145.12268600000002,Golf,1.0,9 Hole Course - Public,4. Good,Unisex,Kingston,Fraser Avenue Edithvale 3196,,"['Kingston', 'Edithvale', 'Sports', 'Golf']",,
Commonwealth Golf Club,Oakleigh South,-37.929564,145.085432,Golf,1.0,18 Hole Course - Private,,,Kingston,Glennie Avenue Oakleigh South 3167,,"['Kingston', 'Oakleigh South', 'Sports', 'Golf']",,
Kingston Heath Golf Club,Heatherton,-37.955118,145.085879,Golf,1.0,18 Hole Course - Private,,,Kingston,Kingston Road Heatherton 3202,,"['Kingston', 'Heatherton', 'Sports', 'Golf']",,
Kingswood Golf Club,Dingley Village,-37.977531,145.12621000000001,Golf,1.0,18 Hole Course - Private,,,Kingston,Centre Dandenong Road Dingley Village 3172,,"['Kingston', 'Dingley Village', 'Sports', 'Golf']",,
Patterson River Country Club,Bonbeach,-38.06582,145.127713,Golf,1.0,18 Hole Course - Private,,,Kingston,Breeze Street Bonbeach 3196,,"['Kingston', 'Bonbeach', 'Sports', 'Golf']",,
Rossdale Golf Course,Aspendale,-38.028738,145.106354,Golf,1.0,18 Hole Course - Private,,,Kingston,Sixth Avenue Aspendale 3195,,"['Kingston', 'Aspendale', 'Sports', 'Golf']",,
Southern Golf Club,Dingley Village,-37.994805,145.139718,Golf,1.0,18 Hole Course - Private,,,Kingston,Lower Dandenong Road Dingley Village 3172,,"['Kingston', 'Dingley Village', 'Sports', 'Golf']",,
Springvale Golf Course,Clayton South,-37.952688,145.132665,Golf,1.0,18 Hole Course - Private,,,Kingston,Graham Road Clayton South 3169,,"['Kingston', 'Clayton South', 'Sports', 'Golf']",,
Springvale Public Golf Course,Dingley Village,-37.989276000000004,145.142303,Golf,1.0,9 Hole Course - Public,,,Kingston,Centre Dandenong Road Dingley Village 3172,,"['Kingston', 'Dingley Village', 'Sports', 'Golf']",,
Woodlands Golf Club,Parkdale,-37.99962,145.097996,Golf,1.0,18 Hole Course - Private,,,Kingston,White Street Parkdale 3194,,"['Kingston', 'Parkdale', 'Sports', 'Golf']",,
Cheltnam Youth Club,Braeside,-37.98977,145.114716,Gymnastics,,,,,Kingston,52 Tarnard Drive Braeside 3195,,"['Kingston', 'Braeside', 'Sports', 'Gymnastics']",,
Mordialloc Gymnastic Club,Mordialloc,-37.991628999999996,145.092746,Gymnastics,,,,,Kingston,115 Warren Road Mordialloc 3195,,"['Kingston', 'Mordialloc', 'Sports', 'Gymnastics']",,
Patterson Lakes Gymnastics,Patterson Lakes,-38.06901,145.143441,Gymnastics,,,,,Kingston,70 Thompsons Road Patterson Lakes 3197,,"['Kingston', 'Patterson Lakes', 'Sports', 'Gymnastics']",,
Haileybury College,Keysborough,-38.00101,145.13825400000002,Hockey,2.0,Artificial Turf,,,Kingston,Springvale road Keysborough 3173,,"['Kingston', 'Keysborough', 'Sports', 'Hockey']",,
Cheltenham Bowls Club,Cheltenham,-37.965742999999996,145.06106699999998,Lawn Bowls,2.0,Grass,4. Good,"Female, Male",Kingston,Centre Dandenong Road Cheltenham 3192,,"['Kingston', 'Cheltenham', 'Sports']",,
Clayton Bowls Club,Clayton,-37.93217,145.111131,Lawn Bowls,3.0,Grass,5. Very Good,"Female, Male, Umpire/Officials",Kingston,Springs Street Clayton 3168,,"['Kingston', 'Clayton', 'Sports']",,
Edithvale Bowls Club,Chelsea Heights,-38.036144,145.11918,Lawn Bowls,3.0,Grass,3. Average,"Female, Male",Kingston,Edithvale Road Chelsea Heights 3196,,"['Kingston', 'Chelsea Heights', 'Sports']",,
Mentone Bowling Club,Mentone,-37.980779999999996,145.066072,Lawn Bowls,2.0,Grass,5. Very Good,"Female, Male",Kingston,Collins Street Mentone 3194,,"['Kingston', 'Mentone', 'Sports']",,
Moorabbin Bowling Club,Moorabbin,-37.934501000000004,145.04359499999998,Lawn Bowls,2.0,Grass,3. Average,"Female, Male",Kingston,South Road Moorabbin 3189,,"['Kingston', 'Moorabbin', 'Sports']",,
Mordialloc Bowls Club,Mordialloc,-38.003569,145.091926,Lawn Bowls,2.0,Grass,4. Good,"Female, Male",Kingston,McDonald Street Mordialloc 3195,,"['Kingston', 'Mordialloc', 'Sports']",,
Parkdale Bowls Club,Parkdale,-37.993642,145.075401,Lawn Bowls,1.0,Grass,5. Very Good,"Female, Male",Kingston,Alameda Place Parkdale 3194,,"['Kingston', 'Parkdale', 'Sports']",,
Oakley Go Kart & Pistol Club,Clayton South,-37.953747,145.120478,Motor Sports,1.0,,,,Kingston,Deals Road Clayton South 3169,,"['Kingston', 'Clayton South', 'Sports', 'Motor Sports']",,
Dales Park,Clayton,-37.934468,145.081248,Netball,8.0,Asphalt,4. Good,"Female, Umpire/Officials",Kingston,Washington Road Clayton 3168,,"['Kingston', 'Clayton', 'Sports', 'Netball']",,
Moorabbin Indoor Tennis,Moorabbin,-37.943918,145.076842,Netball (Indoor),,Wooden Gymnasium,,,Kingston,Cochranes Road Moorabbin 3189,,"['Kingston', 'Moorabbin', 'Sports', 'Netball']",,
Keys Road Reserve,Cheltenham,-37.950384,145.06898600000002,Rugby Union,3.0,Grass,5. Very Good,"Female, Male, Umpire/Officials",Kingston,Keys Road Cheltenham 3192,,"['Kingston', 'Cheltenham', 'Sports', 'Rugby']",,
Carrum Sailing Club,Carrum,-38.075654,145.121052,Sailing,,,,,Kingston,631 Nepean Highway Carrum 3197,,"['Kingston', 'Carrum', 'Sports', 'Sailing']",,
Chelsea Yacht Club,Chelsea,-38.049678,145.11176,Sailing,,,,,Kingston,Kelvin Grove Chelsea 3196,,"['Kingston', 'Chelsea', 'Sports', 'Sailing']",,
Mordialloc Motor Yacht Club,Mordialloc,-38.010215,145.087836,Sailing,,,,,Kingston,1 Nepean Highway Mordialloc 3195,,"['Kingston', 'Mordialloc', 'Sports', 'Sailing']",,
Mordialloc Sailing Club Inc.,Mordialloc,-38.010870000000004,145.087299,Sailing,,,,,Kingston,Bowman Street Mordialloc 3195,,"['Kingston', 'Mordialloc', 'Sports', 'Sailing']",,
Parkdale Yacht Club,Parkdale,-37.997496000000005,145.07269499999998,Sailing,,,,,Kingston,Beach Road Parkdale 3194,,"['Kingston', 'Parkdale', 'Sports', 'Sailing']",,
Sir William Fry Reserve,Highett,-37.956513,145.049628,Skating,1.0,Concrete,3. Average,,Kingston,Nepean Hwy Highett 3190,,"['Kingston', 'Highett', 'Sports', 'Skating']",,
Grange Reserve,Clayton South,-37.945332,145.13053,Soccer,1.0,Grass,3. Average,"Umpire/Officials, Unisex",Kingston,Osborne Avenue Clayton South 3169,,"['Kingston', 'Clayton South', 'Sports', 'Soccer']",,
Moorabbin Sqush and Fitness Centre,Moorabbin,-37.941458000000004,145.057781,Squash / Racquetball,12.0,Wooden Flooring,,,Kingston,10 Inderpendance Street Moorabbin 3189,,"['Kingston', 'Moorabbin', 'Sports', 'Squash']",,
Aspendale Life Saving Club,Aspendale,-38.028058,145.100721,Surf Life Saving,,,,,Kingston,Groves Street Aspendale 3195,,"['Kingston', 'Aspendale', 'Sports', 'Surf']",,
Bonbeach Life Saving Club,Bonbeach,-38.064991,145.118002,Surf Life Saving,,,,,Kingston,Lord Weaver Grove Bonbeach 3196,,"['Kingston', 'Bonbeach', 'Sports', 'Surf']",,
Carrum Surf Life Saving Club,Carrum,-38.076319,145.121237,Surf Life Saving,,,,,Kingston,Johnson Foreshore Reserve Carrum 3197,,"['Kingston', 'Carrum', 'Sports', 'Surf']",,
Chelsea Longbeach Surf Life Saving Club,Chelsea,-38.053061,145.11356999999998,Surf Life Saving,,,,,Kingston,The Strand Chelsea 3196,,"['Kingston', 'Chelsea', 'Sports', 'Surf']",,
Edithvale Life Saving Club,Edithvale,-38.038767,145.106685,Surf Life Saving,,,,,Kingston,The Esplanade Edithvale 3196,,"['Kingston', 'Edithvale', 'Sports', 'Surf']",,
Mentone Life Saving Club,Mentone,-37.988684,145.05871299999998,Surf Life Saving,,,,,Kingston,beach Road Mentone 3194,,"['Kingston', 'Mentone', 'Sports', 'Surf']",,
Mordialloc Life Saving Club,Mordialloc,-38.007243,145.08330800000002,Surf Life Saving,,,,,Kingston,beach Road Mordialloc 3195,,"['Kingston', 'Mordialloc', 'Sports', 'Surf']",,
Bayside Aquatics,Mentone,-37.987799,145.069459,Swimming,1.0,25m Pool - Indoor,,,Kingston,Lucerne Street Mentone 3194,,"['Kingston', 'Mentone', 'Sports', 'Swimming']",,
Toby Haenen Swim Centre,Chelsea Heights,-38.039093,145.13786299999998,Swimming,,,,,Kingston,10 Ashley Park Drive Chelsea Heights 3196,,"['Kingston', 'Chelsea Heights', 'Sports', 'Swimming']",,
Clarinda Tennis Club,Clarinda,-37.928776,145.101673,Tennis (Outdoor),6.0,Hard Court,4. Good,"Female, Male",Kingston,Crawford Road Clarinda 3169,,"['Kingston', 'Clarinda', 'Sports', 'Tennis']",,
St Louis De Montfort Tennis Club,Aspendale,-38.017165999999996,145.102389,Tennis (Outdoor),4.0,Hard Court,,,Kingston,Dolphin Street Aspendale 3195,,"['Kingston', 'Aspendale', 'Sports', 'Tennis']",,
Ice Hockey Victoria,Oakleigh South,-37.9255,145.094,Ice Hockey,,,,,Kingston,1080 Centre Road Oakleigh South 3167,,"['Kingston', 'Oakleigh South', 'Sports', 'Hockey']",,
Lysterfield Park,Narre Warren North,-37.970048999999996,145.30105600000002,Cycling,,,,,Casey,"Trailmix Trail, Narre Warren North, City of Casey, Victoria, 3804, Australia",,"['Casey', 'Narre Warren North', 'Sports', 'Cycling']",,
Nitro Gym,Kilsyth,-38.005392,145.259467,Fitness / Gymnasium Workouts,1.0,,,,Casey,115 Canterbury Road Kilsyth 3137,,"['Casey', 'Kilsyth', 'Sports', 'Gymnasium']",,
Casey Indoor Leisure Centre,Cranbourne,-38.112772,145.29404499999998,AFL (Indoor),1.0,Grass,4. Good,"Female, Male",Casey,New Holland Drive Cranbourne 3977,,"['Casey', 'Cranbourne', 'Sports', 'AFL']",,
Casey Fields,Cranbourne East,-38.121978999999996,145.312021,Athletics,1.0,Synthetic Running Track,5. Very Good,"Female, Male",Casey,160 Berwick-Cranbourne Road Cranbourne East 3977,,"['Casey', 'Cranbourne East', 'Sports', 'Athletics']",,
Edwin Flack Recreation Reserve,Berwick,-38.029053999999995,145.3632,Athletics,1.0,Grass Running Track,3. Average,,Casey,Manuka Road Berwick 3806,,"['Casey', 'Berwick', 'Sports', 'Athletics']",,
"Lawson Poole Recreation Reserve,",Cranbourne,-38.083526,145.274553,Athletics,1.0,Grass Running Track,,,Casey,Lesdon Avenue Cranbourne 3977,,"['Casey', 'Cranbourne', 'Sports', 'Athletics']",,
Arch Brown Reserve,Berwick,-38.027951,145.354874,Australian Rules Football,1.0,Grass,4. Good,"Umpire/Officials, Unisex",Casey,Buchanan Road Berwick 3806,,"['Casey', 'Berwick', 'Sports', 'Football']",,
Banjo Patterson Park,Lynbrook,-38.056559,145.24987,Australian Rules Football,1.0,Grass,5. Very Good,Unisex,Casey,Patterson Drive Lynbrook 3975,,"['Casey', 'Lynbrook', 'Sports', 'Football']",,
Barry Simon Recreation Reserve,Endeavour Hills,-37.967677,145.264227,Australian Rules Football,1.0,Grass,3. Average,"Male, Umpire/Officials",Casey,Gleneagles Drive Endeavour Hills 3802,,"['Casey', 'Endeavour Hills', 'Sports', 'Football']",,
Berwick Fields Primary School,Berwick,-38.045403,145.3542,Australian Rules Football,1.0,Grass,,,Casey,35 Gwendoline Drive Berwick 3806,,"['Casey', 'Berwick', 'Sports', 'Football']",,
Berwick Fields Recreation Reserve,Berwick,-38.048455,145.332573,Australian Rules Football,1.0,Grass,4. Good,Unisex,Casey,Gwendolin Drive Berwick 3806,,"['Casey', 'Berwick', 'Sports', 'Football']",,
"Berwick Springs Recreation Reserve,",Narre Warren South,-38.070985,145.315223,Australian Rules Football,1.0,Grass,5. Very Good,"Umpire/Officials, Unisex",Casey,Berwick Springs Promenade Narre Warren South 3805,,"['Casey', 'Narre Warren South', 'Sports', 'Football']",,
Berwick Springs Reserve,Narre Warren South,-38.071346000000005,145.315378,Australian Rules Football,1.0,Grass,,,Casey,"Pavillion, Glasscocks Road, Narre Warren South, Cranbourne, City of Casey, Victoria, 3806, Australia",,"['Casey', 'Narre Warren South', 'Sports', 'Football']",,
"Cairns Road Recreation Reserve,",Hampton Park,-38.037459000000005,145.258923,Australian Rules Football,1.0,Grass,5. Very Good,Unisex,Casey,Cairns Road Hampton Park 3976,,"['Casey', 'Hampton Park', 'Sports', 'Football']",,
Carlisle Park Reserve,Cranbourne,-38.08652,145.292502,Australian Rules Football,1.0,Grass,,,Casey,41 Majestic Boulevard Cranbourne 3977,,"['Casey', 'Cranbourne', 'Sports', 'Football']",,
Charles Green Reserve,Endeavour Hills,-37.985765,145.251995,Australian Rules Football,1.0,Grass,4. Good,"Male, Umpire/Officials",Casey,James Cook Drive Endeavour Hills 3802,,"['Casey', 'Endeavour Hills', 'Sports', 'Football']",,
Clyde Recreation Reserve,Clyde,-38.11994,145.32829099999998,Australian Rules Football,1.0,Grass,,,Casey,Patterson Road Clyde 3978,,"['Casey', 'Clyde', 'Sports', 'Football']",,
Cranbourne Recreation Reserve,Cranbourne,-38.117568,145.283637,Australian Rules Football,1.0,Grass,3. Average,"Umpire/Officials, Unisex",Casey,Sladen Street Cranbourne 3977,,"['Casey', 'Cranbourne', 'Sports', 'Football']",,
Glover Recreation Reserve,Deavon Meadows,-38.156582,145.302598,Australian Rules Football,1.0,Grass,3. Average,"Male, Umpire/Officials",Casey,Cross Road Deavon Meadows,,"['Casey', 'Deavon Meadows', 'Sports', 'Football']",,
"Glover Recreation Reserve,",Deavon Meadows,-38.15697,145.302327,Australian Rules Football,1.0,Grass,,,Casey,Browns Road Deavon Meadows,,"['Casey', 'Deavon Meadows', 'Sports', 'Football']",,
"Hallam Recreation Reserve,",Hallam,-38.001698,145.26916699999998,Australian Rules Football,1.0,Grass,5. Very Good,"Umpire/Officials, Unisex",Casey,Frawley Road Hallam 3803,,"['Casey', 'Hallam', 'Sports', 'Football']",,
"J & P Cam Recreation Reserve,",Cranbourne,-38.102714,145.271077,Australian Rules Football,2.0,Grass,3. Average,"Umpire/Officials, Unisex",Casey,Claredon Street Cranbourne 3977,,"['Casey', 'Cranbourne', 'Sports', 'Football']",,
"Kalora Park Rec. Reserve,",Narre Warren North,-37.991078,145.30536899999998,Australian Rules Football,1.0,Grass,3. Average,"Umpire/Officials, Unisex",Casey,Fox Road Narre Warren North 3805,,"['Casey', 'Narre Warren North', 'Sports', 'Football']",,
Max Pawsey Recreation Reserve,Narre Warren,-38.017492,145.298057,Australian Rules Football,2.0,Grass,4. Good,"Umpire/Officials, Unisex",Casey,Magid Drive Narre Warren 3805,,"['Casey', 'Narre Warren', 'Sports', 'Football']",,
"Narre Warren Nth Recreation Reserve,",Narre Warren North,-37.987625,145.288203,Australian Rules Football,2.0,Grass,5. Very Good,Unisex,Casey,Belgrave-hallam Road Narre Warren North 3805,,"['Casey', 'Narre Warren North', 'Sports', 'Football']",,
"Pearcedale Recreation Reserve,",Pearcedale,-38.203520000000005,145.228467,Australian Rules Football,2.0,Grass,4. Good,"Male, Umpire/Officials",Casey,Baxter-Tooradin Road Pearcedale 3912,,"['Casey', 'Pearcedale', 'Sports', 'Football']",,
"Power Road Recreation Reserve,",Doveton,-37.980461,145.24112399999999,Australian Rules Football,1.0,Grass,3. Average,"Male, Umpire/Officials",Casey,Power Road Doveton 3177,,"['Casey', 'Doveton', 'Sports', 'Football']",,
"Reid Robinson Rec. Reserve,",Eumemmerring,-37.996774,145.242946,Australian Rules Football,2.0,Grass,2. Poor,"Male, Umpire/Officials",Casey,Oak Avenue Eumemmerring 3802,,"['Casey', 'Eumemmerring', 'Sports', 'Football']",,
"Robert Booth Recreation Reserve,",Hampton Park,-38.030024,145.258671,Australian Rules Football,1.0,Grass,5. Very Good,"Male, Umpire/Officials",Casey,Sommerville Road Hampton Park 3976,,"['Casey', 'Hampton Park', 'Sports', 'Football']",,
"Rutter Park Reserve,",Tooradin,-38.216527,145.38644399999998,Australian Rules Football,1.0,Grass,4. Good,,Casey,2920 South Gippsland Hwy Tooradin 3980,,"['Casey', 'Tooradin', 'Sports', 'Football']",,
"Singleton Recreation Reserve,",Endeavour Hills,-37.980307,145.270819,Australian Rules Football,1.0,Grass,5. Very Good,"Umpire/Officials, Unisex",Casey,Singleton Drive Endeavour Hills 3802,,"['Casey', 'Endeavour Hills', 'Sports', 'Football']",,
"Strathaird Rec. Reserve,",Narre Warren South,-38.062273,145.28983799999997,Australian Rules Football,2.0,Grass,4. Good,"Umpire/Officials, Unisex",Casey,Strathaird Drive Narre Warren South 3805,,"['Casey', 'Narre Warren South', 'Sports', 'Football']",,
"Sweeney Recreation Reserve,",Narre Warren,-38.039175,145.327194,Australian Rules Football,3.0,Grass,3. Average,Male,Casey,Golf Links Road Narre Warren 3805,,"['Casey', 'Narre Warren', 'Sports', 'Football']",,
"Tooradin Recreation Reserve,",Tooradin,-38.210669,145.37535,Australian Rules Football,1.0,Grass,5. Very Good,"Umpire/Officials, Unisex",Casey,68 South Gippsland Hwy Tooradin 3980,,"['Casey', 'Tooradin', 'Sports', 'Football']",,
"Warneet Recreation Reserve,",Warneet,-38.219145000000005,145.31346100000002,Australian Rules Football,1.0,Grass,3. Average,,Casey,Warneet Road Warneet 3980,,"['Casey', 'Warneet', 'Sports', 'Football']",,
Berwick Leisure Centre,Berwick,-38.030319,145.365332,Badminton,1.0,Wooden Flooring,3. Average,"Female, Male",Casey,79 Manuka Road Berwick 3806,,"['Casey', 'Berwick', 'Sports', 'Badminton']",,
Endeavour Hills Leisure Centre,Endeavour Hills,-37.978588,145.25978500000002,Badminton,2.0,Wooden Flooring,4. Good,"Female, Male",Casey,10 Raymond MCMahon Boulevard Endeavour Hills 3802,,"['Casey', 'Endeavour Hills', 'Sports', 'Badminton']",,
Cyril Molyneaux Reserve,Berwick,-38.030161,145.326314,Baseball,2.0,Grass,4. Good,Unisex,Casey,Mansfield Street Berwick 3806,,"['Casey', 'Berwick', 'Sports', 'Baseball']",,
"Morning Mist Recreation Reserve,",Cranbourne South,-38.146868,145.232147,Basketball,1.0,Asphalt,,,Casey,Browns Road Cranbourne South 3977,,"['Casey', 'Cranbourne South', 'Sports', 'Basketball']",,
Cranbourne Indoor sports,Cranbourne,-38.1045,145.2865,Beach Volleyball,,,,,Casey,14 Smethurst Street Cranbourne 3977,,"['Casey', 'Cranbourne', 'Sports']",,
Junction Village Recreation Reserve,Junction Village,-38.134417,145.293001,BMX,1.0,Dirt,3. Average,,Casey,Sherwood Road Junction Village 3977,,"['Casey', 'Junction Village', 'Sports']",,
Kevin Adlard Reserve,Eumemmerring,-37.992376,145.252631,BMX,1.0,Dirt,,,Casey,Doveton Avenue Eumemmerring 3802,,"['Casey', 'Eumemmerring', 'Sports']",,
"KM Reedy Recreation Reserve,",Hampton Park,-38.023132000000004,145.248479,BMX,1.0,Dirt,,,Casey,Pound Road Hampton Park 3976,,"['Casey', 'Hampton Park', 'Sports']",,
"Sydney Pargeter Rec. Reserve,",Endeavour Hills,-37.964774,145.249235,Bocce,2.0,,5. Very Good,,Casey,Power Road Endeavour Hills 3802,,"['Casey', 'Endeavour Hills', 'Sports']",,
Amberly Park Drive Reserve,Narre Warren South,-38.045978000000005,145.28944099999998,Cricket,1.0,Synthetic Pitch,,,Casey,Amberly Park Drive Narre Warren South 3805,,"['Casey', 'Narre Warren South', 'Sports', 'Cricket']",,
Donnelly Recreation Reserve,Cranbourne,-38.089271999999994,145.277514,Cricket,2.0,Synthetic Pitch,4. Good,,Casey,Lesdon Avenue Cranbourne 3977,,"['Casey', 'Cranbourne', 'Sports', 'Cricket']",,
"Frog Hollow Recreation Reserve,",Endeavour Hills,-37.989384,145.274223,Cricket,1.0,Synthetic Pitch,3. Average,"Male, Umpire/Officials",Casey,Hallam North Road Endeavour Hills 3802,,"['Casey', 'Endeavour Hills', 'Sports', 'Cricket']",,
Pearcedale Club Grounds,Pearcedale,-38.211387,145.252489,Equestrian,,,,,Casey,20 Callanans Lane Pearcedale 3912,,"['Casey', 'Pearcedale', 'Sports']",,
Waratah South Reserve,Eumemmerring,-37.995007,145.245483,Cricket,1.0,Synthetic Pitch,,,Casey,Frawley Road Eumemmerring 3802,,"['Casey', 'Eumemmerring', 'Sports', 'Cricket']",,
"Ivens Reserve,",Narre Warren North,-37.989670000000004,145.315159,Equestrian,1.0,,3. Average,,Casey,Crawley Road Narre Warren North 3805,,"['Casey', 'Narre Warren North', 'Sports']",,
Oakwood Riding School,Clyde North,-38.095416,145.385386,Equestrian,,,,,Casey,10 Smiths Lane Clyde North 3978,,"['Casey', 'Clyde North', 'Sports']",,
Tooradin Estate,Tooradin,-38.192057,145.37798999999998,Equestrian,,,,,Casey,300 Lynes Road Tooradin 3980,,"['Casey', 'Tooradin', 'Sports']",,
4 U Body Fitness,Cranbourne,-38.108346999999995,145.284425,Fitness / Gymnasium Workouts,1.0,,,,Casey,4 Excel Drive Cranbourne 3977,,"['Casey', 'Cranbourne', 'Sports', 'Gymnasium']",,
Aspire Health,Berwick,-38.032332000000004,145.346059,Fitness / Gymnasium Workouts,,,,,Casey,1/28 Gloucester Avenue Berwick 3806,,"['Casey', 'Berwick', 'Sports', 'Gymnasium']",,
Beach House Health & Fitness Narre Warren,Narre Warren,-38.021954,145.302476,Fitness / Gymnasium Workouts,1.0,,,,Casey,Brechin Drive Narre Warren 3805,,"['Casey', 'Narre Warren', 'Sports', 'Gymnasium']",,
Casey Aquatic & Recreation Centre,Narre Warren,-38.020734999999995,145.30094499999998,Fitness / Gymnasium Workouts,1.0,,4. Good,"Female, Male, Unisex",Casey,Overland Drive Narre Warren 3805,,"['Casey', 'Narre Warren', 'Sports', 'Gymnasium']",,
Contours Endeavour Hills,Endeavour Hills,-37.976437,145.276448,Fitness / Gymnasium Workouts,1.0,,,,Casey,59 Heatherton Road Endeavour Hills 3802,,"['Casey', 'Endeavour Hills', 'Sports', 'Gymnasium']",,
Cranbourne Indoor Pool,Cranbourne,-38.115664,145.278354,Fitness / Gymnasium Workouts,1.0,,,,Casey,Grant Street Cranbourne 3977,,"['Casey', 'Cranbourne', 'Sports', 'Gymnasium']",,
