Municipality,Place Name,Feature Type Code,Feature Type,Longitude,Latitude,Historical Information,Url,Organisation Name
GREATER GEELONG CITY,BRAHMAN RESERVE,PARK,PARK,144.3306594,-38.1902442,,,
EAST GIPPSLAND SHIRE,BRALAK,PRSH,PARISH,149.5270833,-37.5593056,,,
MORNINGTON PENINSULA SHIRE,BRAMBLEFIELD RESERVE,PARK,PARK,145.1523611,-38.1973611,"'Prior to the development of the area in Baxter where the reserve is now situated, it was farm land.  The name 'Bramblefield' was given to the estate when it first opened by the developers and is known by both the people who reside there and all others residing in Baxter as 'Bramblefields'.",,
GLENELG SHIRE,BRAMBURRA,PRSH,PARISH,141.7006944,-37.8934722,"Traditional Name: Bramburra Explanation: name of chief Discussion on Current Name: Parish, Co of Normanby, W of Branxholme,  Thornly in Smyth 1878b: 60.",http://www.vaclang.org.au,
EAST GIPPSLAND SHIRE,BRAMBY,PRSH,PARISH,148.0568056,-37.0056944,,,
MONASH CITY,BRANDON PARK,NBHD,NEIGHBOURHOOD,145.1665278,-37.9073611,The name comes from a grazing property bought by Sir George Steward (1865-1920) about the time he became secretary to the governor-general in 1902. He was briefly chief commissioner of police before his death. ,http://www.emelbourne.net.au/biogs/EM00228b.htm,
MONASH CITY,BRANDON PARK,NBHD,NEIGHBOURHOOD,145.1665278,-37.9073611,'The name 'Brandon Park' relates to the original land holding on which now stands the Brandon Park Shopping Centre which perpetuates that name.',,
MONASH CITY,BRANDON PARK RESERVE,PARK,PARK,145.16483,-37.9023764,'The name 'Brandon Park' relates to the original land holding on which now stands the Brandon Park Shopping Centre which perpetuates that name.',,
MONASH CITY,BRANDON PARK SHOPPING CENTRE,SHCE,SHOPPING CENTRE,145.1619444,-37.9044444,,,
STRATHBOGIE SHIRE,BRANJEE,PRSH,PARISH,145.4970833,-36.7348611,,,
MANSFIELD SHIRE,BRANKEET,PRSH,PARISH,145.80625,-37.0276389,"Parish, south of Brankeet Creek from Woodfield to Bonnie Doon. Aboriginal (Taungurong): the name of a local swamp (Les Blake). Massola (1968) says Brankeet was a swamp on ""Borodomanin Creek"", but he may have misinterpreted Brough Smyth's (1878) ""swamp on Borodomanin"" which probably refers to the pastoral run. See also Bonnie Doon, Borodomanin, Brankeet Creek and Pranjip Creek.",,
WODONGA CITY,BRANKO PALAVESTRA PARK,PARK,PARK,146.8891138,-36.1380486,,,
MITCHELL SHIRE,BRANTWOOD,MONU,MONUMENT,145.2151389,-36.9590278,,,
SOUTHERN GRAMPIANS SHIRE,BRANXHOLME,PRSH,PARISH,141.80625,-37.8765278,"'Named after a place in Scotland.  'Branxholm' was a great feudal castle in Terviot Valley, Roxburghshire, owned by the Barons of Buccleugh.'",,
SOUTHERN GRAMPIANS SHIRE,BRANXHOLME,PRSH,PARISH,141.80625,-37.8765278,Traditional name: Kurtuk-kurhrtuk.,,
SOUTHERN GRAMPIANS SHIRE,BRANXHOLME,PRSH,PARISH,141.80625,-37.8765278,"Traditional Name: Kurtuk-kurtuk Explanation: sisters Discussion on Current Name: previously known as Arrandonong Ck, renamed by L Clarke after castle in Roxburghshire, Scotland. This n may derive from either Djabwurrung (western Kulin) or Dhauwurdwurrung (Marr) languages,  Lane in Smyth 1878b: 187.",http://www.vaclang.org.au,
MORNINGTON PENINSULA SHIRE,BRASSER AVENUE BUSHLAND RESERVE,PARK,PARK,144.9846445,-38.3361541,,,
CAMPASPE SHIRE,BRAUND BEND,PARK,PARK,144.69875,-36.0868056,,,
BALLARAT CITY,BRAY RACEWAY,MOTR,MOTOR TRACK,143.83125,-37.5776389,,,
MARIBYRNONG CITY,BRAYBROOK COMMUNITY CENTRE,COCE,COMMUNITY CENTRE,144.8539253,-37.7864573,,,
MARIBYRNONG CITY,BRAYBROOK PARK,PARK,PARK,144.8548128,-37.7871459,,,
BALLARAT CITY,BRAZENER PARK,PARK,PARK,143.9320833,-37.5526389,,,
GREATER GEELONG CITY,BREAKWATER RESERVE,PARK,PARK,144.3699392,-38.1834774,,,
GREATER GEELONG CITY,BREAMLEA RESERVE,PARK,PARK,144.3908192,-38.2942648,,,
GREATER GEELONG CITY,BREARLEY RESERVE,PARK,PARK,144.3509941,-38.1933168,"'The name 'Brearley' has a long history within the City of South Barwon, as two brothers established a tannery on the banks of the Barwon River in 1852'.  'In addition, Sharpe Brearley was a Councillor of the Borough of South Barwon from 1863 to 1868 and from 1887 to 1891 and was Mayor from 1864 to 1866.'",,
SOUTHERN GRAMPIANS SHIRE,BREE PARK,PARK,PARK,142.0286407,-37.7377895,,,
MOIRA SHIRE,BREENS BEACH,BEAC,BEACH,145.5019622,-35.8097682,,,
LODDON SHIRE,BRENANAH,PRSH,PARISH,143.7001389,-36.5426389,,,
WELLINGTON SHIRE,BRENNAN PARK,PARK,PARK,147.0630879,-38.1021803,,,
KNOX CITY,BRENOCK PARK,PARK,PARK,145.2954167,-37.89125,,,
MOIRA SHIRE,BRENTNALLS BEACH,BEAC,BEACH,145.5928734,-35.8492171,,,
HINDMARSH SHIRE,BRENTWOOD,NBHD,NEIGHBOURHOOD,142.1679167,-35.9679167,,,
LODDON SHIRE,BREWERY HOLE,SWPO,SWIMMING POOL,143.9090278,-36.7159722,,,
PYRENEES SHIRE,BREWSTER,PRSH,PARISH,143.5756944,-37.48875,,,
WELLINGTON SHIRE,BRIAGOLONG,PRSH,PARISH,147.0501389,-37.8259722,"Traditional Name: Braiakaulung Explanation: 'belonging to the west' Discussion on Current Name: once known as Top Plain (Gardner 1991), current n a corruption of tribal grouping Braiakaulung,  Gardner 1991: 12.",http://www.vaclang.org.au,
WELLINGTON SHIRE,BRIAGOLONG,PRSH,PARISH,147.0501389,-37.8259722,"'Means 'Native companion.' A kind of crane, feeds on frogs or jerrygoats, yabbies, &c. Resorts swamps or swampy plains.'",,
WELLINGTON SHIRE,BRIAGOLONG FOREST RED GUM RESERVE,PARK,PARK,147.0751389,-37.8520833,"'Means 'Native companion.' A kind of crane, feeds on frogs or jerrygoats, yabbies, &c. Resorts swamps or swampy plains.'",,
WELLINGTON SHIRE,BRIAGOLONG RECREATION RESERVE,PARK,PARK,147.0734106,-37.8492327,,,
WODONGA CITY,BRIAN CALLANAN PARK,PARK,PARK,146.8836979,-36.1360706,"Brian ""Nipper"" Callanan moved to Wodonga in 1986 after he semi-retired from
the Livestock Industry. He was a passionate member of Wodonga Football and
the Wodonga and District Turf Club. Brian and his wife Mary became the first owner/occupier of The Elmwood Development, a perfect place between the
Football Ground and his Church.
",,
CENTRAL GOLDFIELDS SHIRE,BRIAN DOWIE CONSERVATION PARK,PARK,PARK,143.8267883,-37.0425387,,,
WODONGA CITY,BRIAN ESLER PARK,PARK,PARK,146.8610055,-36.1321062,"Named in honour of one of Wodonga's first land developers and surveyors.  He served for 42 years on the board of the Hume Building Society, the last 26 years as Chairman.  He was an active participant in community affairs including the St Vincent De Paul Society.",,City of Wodonga
CASEY CITY,BRIAN J CARROLL RESERVE,PARK,PARK,145.2554167,-37.9951389,"Named after Brian Carroll, the son of an ex-Mayor of the City of Dandenong. He grew up on his parent's farm, and in the 1960s purchased his own property and retained a large farm holding. Through his associations with businesses within the City of Berwick, the late Brian Carroll assisted in the development of the area. ",,
MURRINDINDI SHIRE,BRIAR COVE,BAY,BAY,145.8773611,-37.1465278,,,
GREATER SHEPPARTON CITY,BRICKWORKS PARK,PARK,PARK,145.3951389,-36.37125,Name identifies and commemorates over 80 years of continuous use of the area for the manufacture of bricks.  The brickworks was a major industry in the Shepparton district and many local buildings were constructed with bricks manufactured on the site.,,Greater Shepparton City Council
NORTHERN GRAMPIANS SHIRE,BRIDGE INN,NBHD,NEIGHBOURHOOD,142.82375,-37.0295833,,,
MORELAND CITY,BRIDGET SHORTELL RESERVE,PARK,PARK,144.922526,-37.7074364,"Council purchased the former Glenroy Primary School site located at 40-62 Wheatsheaf Road, Glenroy.
Research into the history of the school was undertaken.  It was recommended that the park be named after the school's first head teacher, Bridget Shortell.  Ms Shortell was head teacher of the school for ten years from June 1899 at this site.
The name provides a historical link with the former use of the site.",,
LODDON SHIRE,BRIDGEWATER,PRSH,PARISH,144.0129167,-36.5718056,'Named after a place in England',,
UNINCORPORATED,BRIDGEWATER BAY,BAY,BAY,144.7665844,-38.3752085,"Named by Lieutenant James Grant on the Lady Nelson 4 December 1800, after the Duke of Bridgewater.",http://www.bcs.asn.au/vic_coast.pdf,
UNINCORPORATED,BRIDGEWATER BAY,BAY,BAY,141.4653311,-38.3864143,,,
GLENELG SHIRE,BRIDGEWATER LAKES,LAKE,LAKE,141.4045213,-38.3229565,,,
LODDON SHIRE,BRIDGEWATER RECREATION RESERVE,PARK,PARK,143.9455654,-36.6059917,,,
WANGARATTA RURAL CITY,BRIENS GORGE RESERVE,PARK,PARK,146.2179167,-36.3343056,"'Mr. James Brien took up a large section of land in this area at Wangandary in 1863 and he noticed that the soil at the foot of the hills was similar to that at Parramatta where he had formerly lived, and where citrus groves were established.  He transported a load to citrus trees in a waggonette to his new property and planted them.  They grew well and this grove became the first commercial citrus orchard in Victoria.'",,
ALPINE SHIRE,BRIGHT,PRSH,PARISH,146.9843056,-36.7715278,"'Named after John Bright, M.P., England'",,
WEST WIMMERA SHIRE,BRIGHT HOLE,LAKE,LAKE,140.9921696,-37.186543,,,
ALPINE SHIRE,BRIGHT MEMORIAL ARBORETUM,PARK,PARK,146.971282,-36.7252869,,,
ALPINE SHIRE,BRIGHT MUNICIPAL CARAVAN PARK,PARK,PARK,146.9654167,-36.7298611,,,
ALPINE SHIRE,BRIGHT RECREATION GROUND,PARK,PARK,146.9720833,-36.7370833,,,
ALPINE SHIRE,BRIGHT RECREATION RESERVE,PARK,PARK,146.9731861,-36.7383178,"Proposal to change the name of the Bright Recreation Reserve, but reason not given in correspondence.",,
GREATER BENDIGO CITY,BRIGHT STREET PARK,PARK,PARK,144.268211,-36.7233171,,,
EAST GIPPSLAND SHIRE,BRIGHTLIGHT SADDLE PICNIC AREA,PARK,PARK,148.9559722,-37.5879167,,,
BAYSIDE CITY,BRIGHTON BEACH,NBHD,NEIGHBOURHOOD,144.9895833,-37.9259722,"'This name was applied to the special survey of H. Dendy, when about to be subdivided and sold in 1841. Dendy, no doubt, took the name from the English seaside town.  See advertisement, Port Phillip Patriot, 31.5.1841.'",,
BAYSIDE CITY,BRIGHTON BEACH BATHS,SWPO,SWIMMING POOL,144.9872222,-37.9288889,,,
BAYSIDE CITY,BRIGHTON NORTH,NBHD,NEIGHBOURHOOD,144.9993056,-37.9018056,"Brighton was developed privately in 1842 as a result of a special survey by Henry Dendy. The name is thought to mean ""place of sorrow"", after an apparent attack on Boonwurrung clans people by the Ganai tribe, which resulted in many deaths.",https://www.heraldsun.com.au/news/victoria/the-az-story-of-melbournes-suburbs/news-story/6f7611b7df2,
BAYSIDE CITY,BRIGHTON PLAYROOM ASSOCIATION,PLAY,PLAYGROUND,145.00032,-37.891265,,,
BAYSIDE CITY,BRIGHTON RECREATIONAL CENTRE,SPCO,SPORTS COMPLEX,144.994175,-37.909932,,,
SOUTHERN GRAMPIANS SHIRE,BRIM BRIM,PRSH,PARISH,141.6273611,-37.4323611,"Traditional Name: Birrm-birrm Explanation: spring of water Discussion on Current Name: see Brim (q.v.),  Thornly in Smyth 1878b: 60.",http://www.vaclang.org.au,
YARRIAMBIACK SHIRE,BRIM EAST,NBHD,NEIGHBOURHOOD,142.5609722,-36.0968056,,,
YARRIAMBIACK SHIRE,BRIM EAST RECREATION RESERVE,PARK,PARK,142.5610498,-36.097982,,,
YARRIAMBIACK SHIRE,BRIM GOLF COURSE,PARK,PARK,142.4193056,-36.0731944,,,
BRIMBANK CITY,BRIMBANK,NBHD,NEIGHBOURHOOD,144.84375,-37.7351389,"An early Brimbank settler, Mary Dodd, is said to have named the location by describing her house as being on the brim of the bank of the Maribyrnong River.",https://www.heraldsun.com.au/news/victoria/the-az-story-of-melbournes-suburbs/news-story/6f7611b7df2,
BRIMBANK CITY,BRIMBANK PARK,PARK,PARK,144.8405463,-37.7261692,,,
GLENELG SHIRE,BRIMBOAL,PRSH,PARISH,141.4373611,-37.4115278,"Traditional Name: Wirrmbul Explanation: the ear Discussion on Current Name: Parish, Co of Dundas, N of Casterton,  Smyth 1878b: 60,  Massola 1968: 12,  Blake 1977: 47.",http://www.vaclang.org.au,
YARRA RANGES SHIRE,BRIMBONGA,PRSH,PARISH,145.8968056,-37.7434722,,,
INDIGO SHIRE,BRIMIN,PRSH,PARISH,146.25625,-36.0543056,,,
EAST GIPPSLAND SHIRE,BRINDAT,PRSH,PARISH,149.6384722,-37.67125,,,
WEST WIMMERA SHIRE,BRINGALBART,PRSH,PARISH,141.1618056,-36.9165278,Historic name: Bring Albert.  Traditional name: Bring albit. 'Sandy spring',,
SOUTHERN GRAMPIANS SHIRE,BRIT BRIT,PRSH,PARISH,141.7240278,-37.4704167,"Traditional Name: Beerreeth-berreeth Explanation: plover Discussion on Current Name: rural locality SW of Balmoral,  Thornly in Smyth 1878b: 60.",http://www.vaclang.org.au,
YARRA RANGES SHIRE,BRITANNIA CREEK,NBHD,NEIGHBOURHOOD,145.6554167,-37.7851389,,,
MITCHELL SHIRE,BROADFORD,PRSH,PARISH,145.0695833,-37.2098611,"'Ray Clark, one of the early pioneers of the district, married a woman from Broadford, Scotland.  He called the settlement after his wife's birthplace.  The name was considered suitable becuase of the use made of the 'ford,' at Sunday Creek, in the old coach days.'  'Broadford is derived from Old Norse or Danish, and meant 'Broad Firth.'",,
MITCHELL SHIRE,BROADFORD COMMUNITY CENTRE -LITTLE HANDS,COCE,COMMUNITY CENTRE,145.054883,-37.203429,,,
EAST GIPPSLAND SHIRE,BROADLANDS,PRSH,PARISH,147.6898611,-37.8348611,,,
HUME CITY,BROADMEADOWS COMMUNITY WOMENS HOUSE,COCE,COMMUNITY CENTRE,144.9287895,-37.6914261,,,
HUME CITY,BROADMEADOWS LEISURE CENTRE,SPCO,SPORTS COMPLEX,144.915174,-37.6812,,,
HUME CITY,BROADMEADOWS TOWN PARK,PARK,PARK,144.9168718,-37.6792186,,,
HUME CITY,BROADMEADOWS VALLEY PARK,PARK,PARK,144.9110739,-37.664757,"The name reflects the importance of the area to the general community of the Broadmeadows municipal area and its use as an area for the non-competitive, passive recreation. ",,PNC File 1356 Broadmeadows Valley Park
MOYNE SHIRE,BROADWATER,PRSH,PARISH,142.0356944,-38.1704167,,,
PORT PHILLIP CITY,BROADWAY RESERVE,PARK,PARK,144.9556944,-37.8406944,,,
ALPINE SHIRE,BROCKET,NBHD,NEIGHBOURHOOD,147.1473611,-37.0390278,,,
MILDURA RURAL CITY,BROCKIE,PRSH,PARISH,142.4301389,-34.7379167,,,
MILDURA RURAL CITY,BRODIE PARK,PARK,PARK,142.148284,-34.1705276,,,
EAST GIPPSLAND SHIRE,BRODRIBB FLORA & FAUNA RESERVE,PARK,PARK,148.5618056,-37.7731944,,,
EAST GIPPSLAND SHIRE,BRODRIBB RIVER RECREATION AREA,PARK,PARK,148.5343056,-37.7826389,,,
CAMPASPE SHIRE,BROKEN RIVER BEND,PARK,PARK,144.4484722,-35.9293056,,,
MILDURA RURAL CITY,BRONZEWING,NBHD,NEIGHBOURHOOD,142.3906944,-35.1901389,,,
GLENELG SHIRE,BRONZEWING PICNIC AREA,PARK,PARK,141.4759722,-37.9315278,,,
WANGARATTA RURAL CITY,BROOKFIELD,NBHD,NEIGHBOURHOOD,146.5526389,-36.4523611,H.A. Crawford named his property after his American birthplace.,,
HOBSONS BAY CITY,BROOKLYN RESERVE,PARK,PARK,144.8462768,-37.8223329,,,
MURRINDINDI SHIRE,BROOKS RIVER RESERVE,PARK,PARK,145.6706944,-37.1904167,"Camping and picnic area 3.5 km west of Alexandra, between the Goulburn River and Brooks Cutting Road. (The name derives from the Brooks Cutting nearby: there is no Brooks River in the area.)",,
GREATER GEELONG CITY,BROOKS STREET PLAYGROUND,PARK,PARK,144.3609379,-38.0978854,,,
WEST WIMMERA SHIRE,BROOKSBY,NBHD,NEIGHBOURHOOD,141.7734722,-37.0051389,,,
WEST WIMMERA SHIRE,BROOKSBYS,NBHD,NEIGHBOURHOOD,141.7734722,-37.0051389,,,
ALPINE SHIRE,BROOKSIDE,NBHD,NEIGHBOURHOOD,146.88375,-36.74875,,,
WYNDHAM CITY,BROPHYS CROSSING,NBHD,NEIGHBOURHOOD,144.6409722,-37.9031944,,,
HOBSONS BAY CITY,BROWN AVENUE RESERVE,PARK,PARK,144.7771571,-37.8841947,,,
MOIRA SHIRE,BROWNS CAMP,CAGR,CAMP GROUND,145.2923611,-35.8595833,,,
MORNINGTON PENINSULA SHIRE,BROXBOURNE BRAE,PARK,PARK,145.0561765,-38.2410763,,,
INDIGO SHIRE,BRUARONG,PRSH,PARISH,146.8873611,-36.4126389,,,
FRANKSTON CITY,BRUCE AITKEN PLAYGROUND,PARK,PARK,145.1451389,-38.1143056,"Bruce Aitken was a local resident, Councillor for Seaford residents for 30 years and Mayor of Frankston in 1972/73.  He was a key person in establishing the playground in Holroyd Street, Seaford.",,Frankston City Council
MORNINGTON PENINSULA SHIRE,BRUCE CAMERON RESERVE,PARK,PARK,145.0818076,-38.1923357,"Allan Bruce Cameron, OBE, Mornington Shire President 1963-4. He represented Mt Eliza Riding from 1956 to 1971.
Allan Bruce Cameron, of Mount Eliza, was awarded the OBE in 1976, for services to local government and community - reported in The London Gazette, 31 December, 1976",,
HOBSONS BAY CITY,BRUCE COMBEN RESERVE,PARK,PARK,144.7660745,-37.8725792,"Named after Bruce Comben. Bruce received the Order of Australia Medal (OAM) in 1983 for services to Local Government and the Community, was a Werribee Shire Councillor, and had a long association with the Carlton Football Club as a player, Committee member, and Vice President.",,
FRANKSTON CITY,BRUCE PARK,PARK,PARK,145.139055,-38.162282,,,
MOIRA SHIRE,BRUCES BEACH NO. 1,BEAC,BEACH,145.926775,-35.965768,,,
MOIRA SHIRE,BRUCES BEACH NO. 2,BEAC,BEACH,145.914598,-35.9654618,,,
CORANGAMITE SHIRE,BRUCKNELL,PRSH,PARISH,142.9079167,-38.4423611,,,
CORANGAMITE SHIRE,BRUCKNELL SCOUT CAMP,CAGR,CAMP GROUND,142.8620583,-38.4731917,,,
SOUTHERN GRAMPIANS SHIRE,BRUK BRUK,PRSH,PARISH,141.5340278,-37.4968056,"Traditional Name: Bruk-bruk Explanation: the oak tree, swamp oak Discussion on Current Name: former SS nr Coleraine,  Thornly in Smyth 1878b: 60.",http://www.vaclang.org.au,
MORELAND CITY,BRUNSWICK CITY BATHS,SWPO,SWIMMING POOL,144.9595709,-37.7708719,,,
MORELAND CITY,BRUNSWICK FOOTBALL GROUND,PARK,PARK,144.9509722,-37.7640278,"'Named after Alexander George Gillon, O. B. E., J. P.  Mayor 1959 - 1960, 1965 - 1966, 1976 - 1977.  President Victorian Football Association 24 yrs.'",,
MORELAND CITY,BRUNSWICK NEIGHBOURHOOD HOUSE,COCE,COMMUNITY CENTRE,144.9648599,-37.7602985,,,
DAREBIN CITY,BRUNSWICK PARK,PARK,PARK,144.9995833,-37.7640278,"'Named after Captain George Brunswick Smyth, 50th Regiment.  He was in charge of mounted (military) police in Port Philip, 1839.'",,
MAROONDAH CITY,BRUSHY HILL PARK,PARK,PARK,145.2975997,-37.7675176,"'Hughes Park was named in honour of Henry Hughes, a former Councillor of the Western Sector of this municipality who served the surrounding community in this voluntary role for a period of 33 years from 31st August, 1903 to 22nd June, 1936.'",,
WELLINGTON SHIRE,BRUTHEN,PRSH,PARISH,146.8176389,-38.5315278,Traditional name: Brewdthan.  'An evil spirit',,
WELLINGTON SHIRE,BRUTHEN,PRSH,PARISH,146.8176389,-38.5315278,Traditional Name: Murloo Explanation: pipeclay Discussion on Current Name: Howitt in Smyth 1878b: 188.,http://www.vaclang.org.au,
WELLINGTON SHIRE,BRUTHEN,PRSH,PARISH,146.8176389,-38.5315278,"Traditional Name: Brewdthan Explanation: personal name Discussion on Current Name: Known as Tambo in 1856. Note Bruden Johnny was Aboriginal man in Omeo district,  Howitt 1904: 76.",http://www.vaclang.org.au,
EAST GIPPSLAND SHIRE,BRUTHEN RECREATION RESERVE,PARK,PARK,147.8350792,-37.7129375,,,
MOUNT ALEXANDER SHIRE,BRYANT BAY,BAY,BAY,143.9553204,-37.0166137,,,
HEPBURN SHIRE,BRYCES FLAT,NBHD,NEIGHBOURHOOD,144.12125,-37.3179167,,,
PYRENEES SHIRE,BUANGOR,PRSH,PARISH,143.2129167,-37.3493056,"Traditional Name: Buangor Explanation: yuwang =granite gar = mountain Discussion on Current Name: township,  former pastoral run,  mountain,  Clark 1998: 9.",http://www.vaclang.org.au,
PYRENEES SHIRE,BUANGOR COMMON,PARK,PARK,143.2076389,-37.3179167,,,
ARARAT RURAL CITY,BUANGOR COMMON PICNIC AREA,PARK,PARK,143.1915278,-37.3109722,,,
ARARAT RURAL CITY,BUANGOR EAST,NBHD,NEIGHBOURHOOD,143.2493056,-37.3881944,,,
EAST GIPPSLAND SHIRE,BUCHAN,PRSH,PARISH,148.2093056,-37.4845833,"Traditional Name: Bukkan-mungie Explanation: bag there, or the place of the bag Discussion on Current Name: Bukkan-munjie is the indigenous n 'for the bag in which the Kurnai carries various articles'. Buchan is supposed to be a Scotch n given by some early settler from North Britain (Howitt 1904),  Howitt 1904: 80,  Massola 1968: 14.",http://www.vaclang.org.au,
EAST GIPPSLAND SHIRE,BUCHAN HEADWATERS WILDERNESS ZONE,PARK,PARK,148.0920833,-37.0573611,,,
HUME CITY,BUCHAN STREET COMMUNITY CENTRE,COCE,COMMUNITY CENTRE,144.921924,-37.655106,,,
MOIRA SHIRE,BUCHANANS BEACH,BEAC,BEACH,145.8701766,-35.9563326,,,
TOWONG SHIRE,BUCHEEN,NBHD,NEIGHBOURHOOD,147.5290278,-36.42125,,,
TOWONG SHIRE,BUCHEEN CREEK,NBHD,NEIGHBOURHOOD,147.5290278,-36.42125,,,
WHITEHORSE CITY,BUCKANBE PARK,PARK,PARK,145.1989252,-37.8328858,"An area of land once owned by Ms. Julia Hay and purchased by Council in 1990.

'Buckanbe' was the name given to a large house on the property.

Council file number 40/02/083 Renaming of Hale Property.",,
WELLINGTON SHIRE,BUCKENDERRA,PRSH,PARISH,146.9776389,-37.2429167,,,
SOUTHERN GRAMPIANS SHIRE,BUCKERAN YARRACK,PRSH,PARISH,142.6201389,-37.7573611,,,
MORNINGTON PENINSULA SHIRE,BUCKINGHAM PARK,PARK,PARK,144.9176389,-38.3779167,,,
GREATER GEELONG CITY,BUCKINGHAM ROAD PLAYGROUND,PARK,PARK,144.3262412,-38.1582095,,,
